problem_no,title,optimal_tc,current_space_tc
leetcode-261,Graph Valid Tree,O(|V| + |E|),O(1)
leetcode-275,H Index Ii,O(logn),O(1)
leetcode-302,Smallest Rectangle Enclosing Black Pixels,O(nlogn),O(1)
leetcode-306,Additive Number,O(n^3),O(1)
leetcode-309,Best Time To Buy And Sell Stock With Cooldown,O(n),O(1)
leetcode-310,Minimum Height Trees,O(n),O(n)
leetcode-315,Count Of Smaller Numbers After Self,O(nlogn),O(n)
leetcode-317,Shortest Distance From All Buildings,O(k * m * n),O(n)
leetcode-321,Create Maximum Number,O(k * (m + n + k)) ~ O(k * (m + n + k^2)),O(n)
leetcode-323,Number Of Connected Components In An Undirected Graph,O(n),O(n)
leetcode-329,Longest Increasing Path In A Matrix,O(m * n),O(n)
leetcode-330,Patching Array,O(s + logn),O(1)
leetcode-331,Verify Preorder Serialization Of A Binary Tree,O(n),O(1)
leetcode-351,Android Unlock Patterns,O(9^2 * 2^9),O(n)
leetcode-357,Count Numbers With Unique Digits,O(n),O(1)
leetcode-360,Sort Transformed Array,O(n),O(n)
leetcode-368,Largest Divisible Subset,O(n^2),O(n)
leetcode-371,Sum Of Two Integers,O(1),O(1)
leetcode-373,Find K Pairs With Smallest Sums,"O(k * log(min(n, m, k)))",O(n)
leetcode-388,Longest Absolute File Path,O(n),O(1)
leetcode-390,Elimination Game,O(logn),O(1)
leetcode-395,Longest Substring With At Least K Repeating Characters,O(n),O(n)
leetcode-397,Integer Replacement,O(n),O(1)
leetcode-400,Nth Digit,O(logn),O(1)
leetcode-403,Frog Jump,O(n^2),O(n)
leetcode-407,Trapping Rain Water Ii,O(m * n * (logm + logn)),O(n)
leetcode-408,Valid Word Abbreviation,O(n),O(1)
leetcode-417,Pacific Atlantic Water Flow,O(m * n),O(n)
leetcode-418,Sentence Screen Fitting,O(r + n * c),O(1)
leetcode-433,Minimum Genetic Mutation,O(n * b),O(n)
leetcode-443,String Compression,O(n),O(1)
leetcode-452,Minimum Number Of Arrows To Burst Balloons,O(nlogn),O(1)
leetcode-455,Assign Cookies,O(nlogn),O(1)
leetcode-457,Circular Array Loop,O(n),O(1)
leetcode-458,Poor Pigs,O(n),O(1)
leetcode-464,Can I Win,O(n!),O(1)
leetcode-465,Optimal Account Balancing,O(n * 2^n),O(n)
leetcode-472,Concatenated Words,O(n * l^2),O(n)
leetcode-473,Matchsticks To Square,O(n * s * 2^n),O(n)
leetcode-475,Heaters,O((m + n) * logn),O(1)
leetcode-479,Largest Palindrome Product,O(n * 10^N),O(1)
leetcode-480,Sliding Window Median,O(nlogk),O(n)
leetcode-481,Magical String,O(n),O(n)
leetcode-484,Find Permutation,O(n),O(1)
leetcode-486,Predict The Winner,O(n^2),O(1)
leetcode-490,The Maze,"O(max(r, c) * w)",O(n)
leetcode-492,Construct The Rectangle,O(1),O(n)
leetcode-493,Reverse Pairs,O(nlogn),O(1)
leetcode-496,Next Greater Element I,O(m + n),O(n)
leetcode-498,Diagonal Traverse,O(m * n),O(1)
leetcode-505,The Maze Ii,"O(max(r, c) * wlogw)",O(n)
leetcode-522,Longest Uncommon Subsequence Ii,O(l * n^2),O(1)
leetcode-526,Beautiful Arrangement,O(n!),O(n)
leetcode-529,Minesweeper,O(m * n),O(1)
leetcode-540,Single Element In A Sorted Array,O(logn),O(1)
leetcode-542,01 Matrix,O(m * n),O(n)
leetcode-546,Remove Boxes,O(n^3) ~ O(n^4),O(1)
leetcode-547,Number Of Provinces,O(n^2),O(n)
leetcode-556,Next Greater Element Iii,O(1),O(1)
leetcode-576,Out Of Boundary Paths,O(N * m * n),O(1)
leetcode-581,Shortest Unsorted Continuous Subarray,O(n),O(1)
leetcode-587,Erect The Fence,O(nlogn),O(n)
leetcode-600,Non Negative Integers Without Consecutive Ones,O(1),O(1)
leetcode-625,Minimum Factorization,O(loga),O(1)
leetcode-630,Course Schedule Iii,O(nlogn),O(1)
leetcode-632,Smallest Range Covering Elements From K Lists,O(nlogk),O(n)
leetcode-644,Maximum Average Subarray Ii,O(n),O(1)
leetcode-647,Palindromic Substrings,O(n),O(1)
leetcode-650,2 Keys Keyboard,O(sqrt(n)),O(1)
leetcode-660,Remove 9,O(logn),O(1)
leetcode-666,Path Sum Iv,O(n),O(n)
leetcode-668,Kth Smallest Number In Multiplication Table,O(m * log(m * n)),O(1)
leetcode-675,Cut Off Trees For Golf Event,O(t * m * n),O(n)
leetcode-679,24 Game,O(1),O(n)
leetcode-680,Valid Palindrome Ii,O(n),O(1)
leetcode-683,K Empty Slots,O(n),O(n)
leetcode-684,Redundant Connection,O(n),O(n)
leetcode-693,Binary Number With Alternating Bits,O(1),O(1)
leetcode-694,Number Of Distinct Islands,O(m * n),O(n)
leetcode-695,Max Area Of Island,O(m * n),O(n)
leetcode-696,Count Binary Substrings,O(n),O(1)
leetcode-698,Partition To K Equal Sum Subsets,O(n * 2^n),O(n)
leetcode-711,Number Of Distinct Islands Ii,O((m * n) * log(m * n)),O(n)
leetcode-714,Best Time To Buy And Sell Stock With Transaction Fee,O(n),O(1)
leetcode-717,1 Bit And 2 Bit Characters,O(n),O(1)
leetcode-722,Remove Comments,O(n),O(1)
leetcode-723,Candy Crush,O((R * C)^2),O(1)
leetcode-728,Self Dividing Numbers,O(n),O(n)
leetcode-733,Flood Fill,O(m * n),O(1)
leetcode-735,Asteroid Collision,O(n),O(1)
leetcode-737,Sentence Similarity Ii,O(n + p),O(1)
leetcode-738,Monotone Increasing Digits,O(1),O(1)
leetcode-739,Daily Temperatures,O(n),O(n)
leetcode-746,Min Cost Climbing Stairs,O(n),O(1)
leetcode-749,Contain Virus,O((m * n)^(4/3)),O(n)
leetcode-751,Ip To Cidr,O(n),O(n)
leetcode-752,Open The Lock,O(k * n^k + d),O(n)
leetcode-754,Reach A Number,O(logn),O(1)
leetcode-755,Pour Water,O(v * n),O(1)
leetcode-768,Max Chunks To Make Sorted Ii,O(n),O(1)
leetcode-770,Basic Calculator Iv,add: O(d * t);  sub: O(d * t);  mul: O(d * t^2);  eval: O(d * t) ;  tolist: O(d * tlogt),O(n)
leetcode-772,Basic Calculator Iii,O(n),O(n)
leetcode-774,Minimize Max Distance To Gas Station,O(nlogr),O(n)
leetcode-780,Reaching Points,"O(log(max(m, n)))",O(1)
leetcode-788,Rotated Digits,O(logn),O(n)
leetcode-793,Preimage Size Of Factorial Zeroes Function,O((logn)^2),O(1)
leetcode-802,Find Eventual Safe States,O(|V| + |E|),O(n)
leetcode-808,Soup Servings,O(1),O(1)
leetcode-809,Expressive Words,O(n + s),O(n)
leetcode-813,Largest Sum Of Averages,O(k * n^2),O(1)
leetcode-826,Most Profit Assigning Work,O(mlogm + nlogn),O(1)
leetcode-830,Positions Of Large Groups,O(n),O(n)
leetcode-832,Flipping An Image,O(n^2),O(1)
leetcode-842,Split Array Into Fibonacci Sequence,O(n^3),O(1)
leetcode-844,Backspace String Compare,O(m + n),O(1)
leetcode-846,Hand Of Straights,O(nlogn),O(n)
leetcode-852,Peak Index In A Mountain Array,O(logn),O(1)
leetcode-868,Binary Gap,O(1),O(1)
leetcode-869,Reordered Power Of 2,O(1),O(n)
leetcode-871,Minimum Number Of Refueling Stops,O(nlogn),O(n)
leetcode-877,Stone Game,O(n^2),O(1)
leetcode-879,Profitable Schemes,O(n * p * g),O(1)
leetcode-881,Boats To Save People,O(nlogn),O(1)
leetcode-882,Reachable Nodes In Subdivided Graph,O(|E| * log|V|),O(n)
leetcode-887,Super Egg Drop,O(klogn),O(1)
leetcode-902,Numbers At Most N Given Digit Set,O(logn),O(n)
leetcode-904,Fruit Into Baskets,O(n),O(n)
leetcode-905,Sort Array By Parity,O(n),O(1)
leetcode-906,Super Palindromes,O(n^0.25 * logn),O(n)
leetcode-907,Sum Of Subarray Minimums,O(n),O(n)
leetcode-913,Cat And Mouse,O(n^3),O(n^2)
leetcode-925,Long Pressed Name,O(n),O(1)
leetcode-927,Three Equal Parts,O(n),O(n)
leetcode-936,Stamping The Sequence,O((n - m) * m),O(n)
leetcode-939,Minimum Area Rectangle,O(n^1.5) on average,O(n)
leetcode-941,Valid Mountain Array,O(n),O(1)
leetcode-946,Validate Stack Sequences,O(n),O(1)
leetcode-948,Bag Of Tokens,O(nlogn),O(1)
leetcode-950,Reveal Cards In Increasing Order,O(n),O(n)
leetcode-956,Tallest Billboard,O(n * 3^(n/2)),O(1)
leetcode-957,Prison Cells After N Days,O(1),O(n)
leetcode-964,Least Operators To Express Number,O(logn / logx),O(1)
leetcode-967,Numbers With Same Consecutive Differences,O(2^n),O(1)
leetcode-969,Pancake Sorting,O(nlogn),O(1)
leetcode-970,Powerful Integers,O((logn)^2),O(n)
leetcode-977,Squares Of A Sorted Array,O(n),O(1)
leetcode-983,Minimum Cost For Tickets,O(n),O(n)
leetcode-986,Interval List Intersections,O(m + n),O(n)
leetcode-989,Add To Array Form Of Integer,O(n + logk),O(1)
leetcode-990,Satisfiability Of Equality Equations,O(n),O(1)
leetcode-991,Broken Calculator,O(logn),O(1)
leetcode-994,Rotting Oranges,O(m * n),O(n)
leetcode-1009,Complement Of Base 10 Integer,O(logn),O(1)
leetcode-1012,Numbers With Repeated Digits,O(logn),O(1)
leetcode-1020,Number Of Enclaves,O(m * n),O(n)
leetcode-1023,Camelcase Matching,O(n * l),O(n)
leetcode-1031,Maximum Sum Of Two Non Overlapping Subarrays,O(n),O(1)
leetcode-1034,Coloring A Border,O(m * n),O(n)
leetcode-1039,Minimum Score Triangulation Of Polygon,O(n^3),O(n)
leetcode-1040,Moving Stones Until Consecutive Ii,O(nlogn),O(n)
leetcode-1046,Last Stone Weight,O(nlogn),O(n)
leetcode-1048,Longest String Chain,O(n * l^2),O(n)
leetcode-1055,Shortest Way To Form String,O(m + n),O(1)
leetcode-1056,Confusing Number,O(logn),O(n)
leetcode-1057,Campus Bikes,O((w * b) * log(w * b)),O(n)
leetcode-1059,All Paths From Source Lead To Destination,O(n + e),O(n)
leetcode-1060,Missing Element In Sorted Array,O(logn),O(1)
leetcode-1067,Digit Count In Range,O(logn),O(n)
leetcode-1073,Adding Two Negabinary Numbers,O(n),O(1)
leetcode-1085,Sum Of Digits In The Minimum Number,O(n * l),O(1)
leetcode-1088,Confusing Number Ii,O(logn),O(n)
leetcode-1090,Largest Values From Labels,O(nlogn),O(n)
leetcode-1091,Shortest Path In Binary Matrix,O(n^2),O(n)
leetcode-1102,Path With Maximum Minimum Value,O((m * n) * log(m * n)),O(n)
leetcode-1103,Distribute Candies To People,O(n + logc),O(n)
leetcode-1104,Path In Zigzag Labelled Binary Tree,O(logn),O(n)
leetcode-1129,Shortest Path With Alternating Colors,O(n + e),O(n)
leetcode-1130,Minimum Cost Tree From Leaf Values,O(n),O(1)
leetcode-1134,Armstrong Number,O(klogk),O(1)
leetcode-1135,Connecting Cities With Minimum Cost,O(nlogn),O(1)
leetcode-1140,Stone Game Ii,O(n*(logn)^2),O(n)
leetcode-1147,Longest Chunked Palindrome Decomposition,O(n),O(1)
leetcode-1156,Swap For Longest Repeated Character Substring,O(n),O(n)
leetcode-1162,As Far From Land As Possible,O(m * n),O(n)
leetcode-1168,Optimize Water Distribution In A Village,O(nlogn),O(n)
leetcode-1180,Count Substrings With Only One Distinct Letter,O(n),O(1)
leetcode-1192,Critical Connections In A Network,O(|V| + |E|),O(n)
leetcode-1197,Minimum Knight Moves,O(1),O(n)
leetcode-1201,Ugly Number Iii,O(logn),O(1)
leetcode-1210,Minimum Moves To Reach Target With Rotations,O(n),O(n)
leetcode-1222,Queens That Can Attack The King,O(1),O(n)
leetcode-1229,Meeting Scheduler,O(nlogn),O(n)
leetcode-1231,Divide Chocolate,O(nlogn),O(1)
leetcode-1234,Replace The Substring For Balanced String,O(n),O(n)
leetcode-1240,Tiling A Rectangle With The Fewest Squares,O(n^2 * m^2 * m^(n * m)),O(n)
leetcode-1243,Array Transformation,O(n^2),O(1)
leetcode-1254,Number Of Closed Islands,O(m * n),O(n)
leetcode-1281,Subtract The Product And Sum Of Digits Of An Integer,O(logn),O(1)
leetcode-1292,Maximum Side Length Of A Square With Sum Less Than Or Equal To Threshold,"O(m * n * log(min(m, n)))",O(n)
leetcode-1293,Shortest Path In A Grid With Obstacles Elimination,O(m * n * k),O(n)
leetcode-1296,Divide Array In Sets Of K Consecutive Numbers,O(nlogn),O(n)
leetcode-1312,Minimum Insertion Steps To Make A String Palindrome,O(n^2),O(1)
leetcode-1319,Number Of Operations To Make Network Connected,O(|E| + |V|),O(1)
leetcode-1329,Sort The Matrix Diagonally,"O(m * n * log(min(m, n))",O(n)
leetcode-1340,Jump Game V,O(n),O(n)
leetcode-1342,Number Of Steps To Reduce A Number To Zero,O(logn),O(1)
leetcode-1345,Jump Game Iv,O(n),O(n)
leetcode-1351,Count Negative Numbers In A Sorted Matrix,O(m + n),O(1)
leetcode-1353,Maximum Number Of Events That Can Be Attended,O(r + nlogn),O(n)
leetcode-1354,Construct Target Array With Multiple Sums,O(log(max(t)) * logn),O(n)
leetcode-1361,Validate Binary Tree Nodes,O(n),O(n)
leetcode-1368,Minimum Cost To Make At Least One Valid Path In A Grid,O(m * n),O(n)
leetcode-1377,Frog Position After T Seconds,O(n),O(n)
leetcode-1390,Four Divisors,O(n * sqrt(n)),O(n)
leetcode-1399,Count Largest Group,O(nlogn),O(n)
leetcode-1403,Minimum Subsequence In Non Increasing Order,O(nlogn),O(1)
leetcode-1414,Find The Minimum Number Of Fibonacci Numbers Whose Sum Is K,O(logk),O(1)
leetcode-1416,Restore The Array,O(nlogk),O(n)
leetcode-1418,Display Table Of Food Orders In A Restaurant,O(n + tlogt + flogf),O(n)
leetcode-1439,Find The Kth Smallest Sum Of A Matrix With Sorted Rows,O(m * klogk),O(n)
leetcode-1441,Build An Array With Stack Operations,O(n),O(n)
leetcode-1462,Course Schedule Iv,O(n^3),O(n)
leetcode-1463,Cherry Pickup Ii,O(m * n^2),O(n^2)
leetcode-1467,Probability Of A Two Boxes Having The Same Number Of Distinct Balls,O(k^3 * n^2),O(1)
leetcode-1475,Final Prices With A Special Discount In A Shop,O(n),O(1)
leetcode-1481,Least Number Of Unique Integers After K Removals,O(n),O(n)
leetcode-1487,Making File Names Unique,O(n),O(n)
leetcode-1515,Best Position For A Service Centre,O(n * iter),O(1)
leetcode-1518,Water Bottles,O(logn/logm),O(1)
leetcode-1520,Maximum Number Of Non Overlapping Substrings,O(n),O(n)
leetcode-1531,String Compression Ii,O(n^2 * k),O(n)
leetcode-1537,Get The Maximum Score,O(m + n),O(1)
leetcode-1539,Kth Missing Positive Number,O(logn),O(1)
leetcode-1546,Maximum Number Of Non Overlapping Subarrays With Sum Equals Target,O(n),O(1)
leetcode-1563,Stone Game V,O(n^2),O(1)
leetcode-1564,Put Boxes Into The Warehouse I,O(nlogn),O(n)
leetcode-1568,Minimum Number Of Days To Disconnect Island,O(m * n),O(n)
leetcode-1569,Number Of Ways To Reorder Array To Get Same Bst,O(n^2),O(n)
leetcode-1580,Put Boxes Into The Warehouse Ii,O(nlogn),O(n)
leetcode-1591,Strange Printer Ii,O(c * m * n + e),O(n)
leetcode-1599,Maximum Profit Of Operating A Centennial Wheel,O(n),O(1)
leetcode-1604,Alert Using Same Key Card Three Or More Times In A One Hour Period,O(nlogn),O(n)
leetcode-1606,Find Servers That Handled Most Number Of Requests,O(nlogk),O(n)
leetcode-1611,Minimum One Bit Operations To Make Integers Zero,O(logn),O(1)
leetcode-1616,Split Two Strings To Make Palindrome,O(n),O(1)
leetcode-1617,Count Subtrees With Max Distance Between Cities,O(n^6),O(n)
leetcode-1632,Rank Transform Of A Matrix,O(m * n * log(m * n)),O(n)
leetcode-1638,Count Substrings That Differ By One Character,O(m * n),O(1)
leetcode-1640,Check Array Formation Through Concatenation,O(n),O(1)
leetcode-1641,Count Sorted Vowel Strings,O(1),O(n)
leetcode-1647,Minimum Deletions To Make Character Frequencies Unique,O(n),O(n)
leetcode-1649,Create Sorted Array Through Instructions,O(nlogn),O(n)
leetcode-1654,Minimum Jumps To Reach Home,"O(max(x, max(forbidden)) + a + b)",O(n)
leetcode-1659,Maximize Grid Happiness,"O(C(m * n, i) * C(m * n - i, e))",O(n)
leetcode-1665,Minimum Initial Energy To Finish Tasks,O(nlogn),O(1)
leetcode-1673,Find The Most Competitive Subsequence,O(n),O(1)
leetcode-1675,Minimize Deviation In Array,O((n * log(maxnum)) * logn),O(n)
leetcode-1679,Max Number Of K Sum Pairs,O(n),O(1)
leetcode-1682,Longest Palindromic Subsequence Ii,O(n^2),O(1)
leetcode-1690,Stone Game Vii,O(n^2),O(1)
leetcode-1691,Maximum Height By Stacking Cuboids,O(n^2),O(n)
leetcode-1705,Maximum Number Of Eaten Apples,O(nlogn),O(1)
leetcode-1706,Where Will The Ball Fall,O(m * n),O(n)
leetcode-1707,Maximum Xor With An Element From Array,O(nlogn + mlogm + nlogk + mlogk),O(n)
leetcode-1710,Maximum Units On A Truck,O(nlogn),O(1)
leetcode-1711,Count Good Meals,O(n),O(n)
leetcode-1718,Construct The Lexicographically Largest Valid Sequence,O(n!),O(n)
leetcode-1719,Number Of Ways To Reconstruct A Tree,O(nlogn),O(n)
leetcode-1722,Minimize Hamming Distance After Swap Operations,O(n),O(n)
leetcode-1723,Find Minimum Time To Finish All Jobs,O(k^n * logr),O(n)
leetcode-1727,Largest Submatrix With Rearrangements,O(m * nlogn),O(1)
leetcode-1730,Shortest Path To Get Food,O(m * n),O(n)
leetcode-1739,Building Boxes,O(1),O(1)
leetcode-1742,Maximum Number Of Balls In A Box,O(nlogm),O(n)
leetcode-1750,Minimum Length Of String After Deleting Similar Ends,O(n),O(1)
leetcode-1751,Maximum Number Of Events That Can Be Attended Ii,O(nlogn + n * k),O(1)
leetcode-1753,Maximum Score From Removing Stones,O(1),O(n)
leetcode-1759,Count Number Of Homogenous Substrings,O(n),O(1)
leetcode-1764,Form Array By Concatenating Subarrays Of Another Array,O(n),O(1)
leetcode-1765,Map Of Highest Peak,O(m * n),O(n)
leetcode-1770,Maximum Score From Performing Multiplication Operations,O(m^2),O(1)
leetcode-1774,Closest Dessert Cost,O(m * t),O(1)
leetcode-1775,Equal Sum Arrays With Minimum Number Of Operations,O(m + n),O(n)
leetcode-1780,Check If Number Is A Sum Of Powers Of Three,O(logn),O(1)
leetcode-1786,Number Of Restricted Paths From First To Last Node,O(|E| * log|V|),O(n)
leetcode-1798,Maximum Number Of Consecutive Values You Can Make,O(nlogn),O(1)
leetcode-1801,Number Of Orders In The Backlog,O(nlogn),O(n)
leetcode-1802,Maximum Value At A Given Index In A Bounded Array,O(logm),O(1)
leetcode-1805,Number Of Different Integers In A String,O(n),O(n)
leetcode-1806,Minimum Number Of Operations To Reinitialize A Permutation,O(sqrt(n)),O(1)
leetcode-1813,Sentence Similarity Iii,O(n),O(1)
leetcode-1815,Maximum Number Of Groups Getting Fresh Donuts,O((b/2) * (n/(b/2)+1)^(b/2)),O(1)
leetcode-1820,Maximum Number Of Accepted Invitations,O(m * n * sqrt(m + n)),O(n)
leetcode-1826,Faulty Sensor,O(n),O(1)
leetcode-1834,Single Threaded Cpu,O(nlogn),O(1)
leetcode-1837,Sum Of Digits In Base K,O(logn),O(1)
leetcode-1838,Frequency Of The Most Frequent Element,O(nlogn),O(1)
leetcode-1839,Longest Substring Of All Vowels In Order,O(n),O(1)
leetcode-1847,Closest Room,O(nlogn + klogk + klogn),O(n)
leetcode-1849,Splitting A String Into Descending Consecutive Values,O(n^2),O(1)
leetcode-1850,Minimum Adjacent Swaps To Reach The Kth Smallest Number,O((k + n) * n),O(n)
leetcode-1851,Minimum Interval To Include Each Query,O(nlogn + klogk + klogn),O(n)
leetcode-1862,Sum Of Floored Pairs,O(nlogn),O(n)
leetcode-1872,Stone Game Viii,O(n),O(1)
leetcode-1876,Substrings Of Size Three With Distinct Characters,O(n),O(1)
leetcode-1882,Process Tasks Using Servers,O(n + mlogn),O(n)
leetcode-1891,Cutting Ribbons,O(nlogr),O(n)
leetcode-1895,Largest Magic Square,"O(max(m, n) * min(m, n)^3)",O(n)
leetcode-1900,The Earliest And Latest Rounds Where Players Compete,O(n^4),O(n)
leetcode-1901,Find A Peak Element Ii,"O(min(n, m) * log(max(n, m)))",O(n)
leetcode-1905,Count Sub Islands,O(m * n),O(n)
leetcode-1908,Game Of Nim,O(n),O(1)
leetcode-1909,Remove One Element To Make The Array Strictly Increasing,O(n),O(1)
leetcode-1916,Count Ways To Build Rooms In An Ant Colony,O(n),O(n)
leetcode-1918,Kth Smallest Subarray Sum,O(nlogr),O(1)
leetcode-1922,Count Good Numbers,O(logn),O(1)
leetcode-1933,Check If String Is Decomposable Into Value Equal Substrings,O(n),O(1)
leetcode-1942,The Number Of The Smallest Unoccupied Chair,O(nlogn),O(n)
leetcode-1944,Number Of Visible People In A Queue,O(n),O(n)
leetcode-1947,Maximum Compatibility Score Sum,O(m^2 * (n + m)),O(n)
leetcode-1948,Delete Duplicate Folders In System,O(n * m * l + tlogt + l * t),O(n)
leetcode-1950,Maximum Of Minimum Values In All Subarrays,O(n),O(n)
leetcode-1954,Minimum Garden Perimeter To Collect Enough Apples,O(1),O(1)
leetcode-1960,Maximum Product Of The Length Of Two Palindromic Substrings,O(n),O(n)
leetcode-1970,Last Day Where You Can Still Cross,O(m * n),O(n)
leetcode-1989,Maximum Number Of People That Can Be Caught In Tag,O(n),O(1)
leetcode-1992,Find All Groups Of Farmland,O(m * n),O(n)
leetcode-1999,Smallest Greater Multiple Made Of Two Digits,O(1),O(n)
leetcode-2015,Average Height Of Buildings In Each Segment,O(nlogn),O(n)
leetcode-2027,Minimum Moves To Convert String,O(n),O(1)
leetcode-2049,Count Nodes With The Highest Score,O(n),O(n)
leetcode-2050,Parallel Courses Iii,O(|V| + |E|),O(n)
leetcode-2056,Number Of Valid Move Combinations On Chessboard,O(1),O(n^2)
leetcode-2059,Minimum Operations To Convert Number,O(m * n),O(n)
leetcode-2061,Number Of Spaces Cleaning Robot Cleaned,O(m * n),O(n)
leetcode-2070,Most Beautiful Item For Each Query,O(nlogn + qlogn),O(n)
leetcode-2071,Maximum Number Of Tasks You Can Assign,O(n * (logn)^2),O(n)
leetcode-2077,Paths In Maze That Lead To Same Room,O(|V|^3),O(n)
leetcode-2093,Minimum Cost To Reach City With Discounts,O(|E| * log|V|),O(n)
leetcode-2094,Finding 3 Digit Even Numbers,O(n),O(n)
leetcode-2097,Valid Arrangement Of Pairs,O(|V| + |E|),O(n)
leetcode-2105,Watering Plants Ii,O(n),O(1)
leetcode-2106,Maximum Fruits Harvested After At Most K Steps,O(n),O(1)
leetcode-2110,Number Of Smooth Descent Periods Of A Stock,O(n),O(1)
leetcode-2122,Recover The Original Array,O(n^2),O(n)
leetcode-2123,Minimum Operations To Remove Adjacent Ones In Matrix,O(m * n * sqrt(m * n)),O(n)
leetcode-2136,Earliest Possible Day Of Full Bloom,O(nlogn),O(1)
leetcode-2140,Solving Questions With Brainpower,O(n),O(1)
leetcode-2146,K Highest Ranked Items Within A Price Range,O(m * n + klogk),O(n)
leetcode-2147,Number Of Ways To Divide A Long Corridor,O(n),O(1)
leetcode-2152,Minimum Number Of Lines To Cover Points,O(n * 2^n),O(1)
leetcode-2157,Groups Of Strings,O(26 * n),O(n)
leetcode-2160,Minimum Sum Of Four Digit Number After Splitting Digits,O(1),O(1)
leetcode-2165,Smallest Value Of The Rearranged Number,O(d),O(n)
leetcode-2169,Count Operations To Obtain Zero,"O(log(min(m, n)))",O(1)
leetcode-2174,Remove All Ones With Row And Column Flips Ii,O((m * n) * 2^(m * n)),O(n)
leetcode-2180,Count Integers With Even Digit Sum,O(logn),O(1)
leetcode-2189,Number Of Ways To Build House Of Cards,O(n^2),O(1)
leetcode-2192,All Ancestors Of A Node In A Directed Acyclic Graph,O(|V| * |E|),O(n)
leetcode-2193,Minimum Number Of Moves To Make Palindrome,O(nlogn),O(1)
leetcode-2197,Replace Non Coprime Numbers In Array,O(nlogm),O(1)
leetcode-2203,Minimum Weighted Subgraph With The Required Paths,O(|E| * log|V|),O(n)
leetcode-2204,Distance To A Cycle In Undirected Graph,O(|V| + |E|),O(n)
leetcode-2209,Minimum White Tiles After Covering With Carpets,O(m * n),O(n)
leetcode-2216,Minimum Deletions To Make Array Beautiful,O(n),O(1)
leetcode-2223,Sum Of Scores Of Built Strings,O(n),O(n)
leetcode-2225,Find Players With Zero Or One Losses,O(nlogn),O(n)
leetcode-2226,Maximum Candies Allocated To K Children,O(nlogr),O(n)
leetcode-2231,Largest Number After Digit Swaps By Parity,O(logn),O(n)
leetcode-2234,Maximum Total Beauty Of The Gardens,O(nlogn),O(1)
leetcode-2245,Maximum Trailing Zeros In A Cornered Path,O(m * n),O(n)
leetcode-2258,Escape The Spreading Fire,O(m * n),O(n)
leetcode-2268,Minimum Number Of Keypresses,O(n),O(n)
leetcode-2272,Substring With Largest Variance,O(a^2 * n),O(n)
leetcode-2277,Closest Node To Path In Tree,O(n + q),O(n)
leetcode-2281,Sum Of Total Strength Of Wizards,O(n),O(n)
